label,n_events,share_entered_B,median_k,CAR_A,CAR_A_lo,CAR_A_hi,CAR_B,CAR_B_lo,CAR_B_hi,B_minus_A,B_minus_A_lo,B_minus_A_hi,C_minus_A,C_minus_A_lo,C_minus_A_hi,D1_minus_A,D1_minus_A_lo,D1_minus_A_hi,D2_minus_A,D2_minus_A_lo,D2_minus_A_hi,D3_minus_A,D3_minus_A_lo,D3_minus_A_hi,perday_post,perday_post_lo,perday_post_hi,perday_A,perday_A_lo,perday_A_hi,PRIMARY_post_minus_matched,PRIMARY_lo,PRIMARY_hi,matched_control_perday,W,H,m_fixed
selection_2005_2014,4803,0.603372891942536,2.0,0.009896746779118476,-0.003602659803669749,0.024050421882768437,0.0025409981859317397,-0.005758160800537863,0.010774598926597824,-0.0073557485931867355,-0.014160656835059203,-0.0011980415472402507,-0.0022541858827184727,-0.004015532672448347,-0.0005705750896158679,-0.003876274743090113,-0.008032099863692226,-7.201527512223238e-05,-0.00830382984045488,-0.0180633439876842,0.0009004099215694424,-0.010051894013074882,-0.016947208496711233,-0.0032314967428247574,7.016242598491589e-05,-0.00017416644688082112,0.0003067247683056658,0.0001649457796519746,-6.004433006116247e-05,0.0004008403647128074,-9.554934215298244e-05,-0.00016713211385621575,-2.601420639447535e-05,0.00016571176813789834,10,60,2
holdout_2015_2026,9966,0.6096728878185832,2.0,-0.0015999487366228908,-0.01930967404373176,0.017294892041207505,-0.0006436042321774942,-0.011037450919579384,0.010717991269034785,0.000956344504445396,-0.007743768153565815,0.009335934599099042,-0.00032537548834539286,-0.0024591388517499237,0.0017850550921223235,0.0015274534285160705,-0.003924142439416242,0.006849949134287719,0.001178927160894156,-0.009927078970397768,0.01174367082063572,0.002252762405616153,-0.007228526567751053,0.01147158972863974,-1.767118318427363e-05,-0.0003159977636943799,0.00030491145974054484,-2.666581227704818e-05,-0.0003218279007288627,0.00028824820068679185,-1.611450829040548e-05,-8.976788399763397e-05,5.505589805686107e-05,-1.5566748938681922e-06,10,60,2
selection_2005_2014,4803,0.6637518217780554,2.0,0.005346804232138856,-0.0007466063298853854,0.011692923300403987,0.0011188856930295945,-0.0024812864545638524,0.004932428438706236,-0.0042279185391092605,-0.007566274262361959,-0.0009163942457810275,-0.0025115173167527265,-0.004294043682120488,-0.000852533040782151,-0.002296184897870986,-0.004819207226637237,0.0001539633176979788,-0.005486054525531213,-0.00991578691539614,-0.0009669795448142975,-0.005053656428581263,-0.008839030915671882,-0.0011033972279808457,0.00010126709055687406,-0.00024404143370079835,0.00044959494812683593,0.0002673402116069428,-3.733031649426927e-05,0.0005846461650201993,-0.00017828570732891487,-0.0003151366549089083,-3.871951949378927e-05,0.0002795527978857889,15,20,2
holdout_2015_2026,9966,0.6596427854706001,2.0,0.001779471167733106,-0.006846860372090557,0.010582188176745588,0.0009580208794112916,-0.003515751445127642,0.0055359116592902146,-0.0008214502883218148,-0.005664599275771843,0.004246987386068764,-0.00013086977214619855,-0.0022929801779213482,0.001967707871005802,-2.2138000901240403e-06,-0.0034778113315675698,0.003598590810911311,-0.0014477865955886422,-0.00731775097195083,0.004636280136134637,-0.000740147873837168,-0.005994003821864937,0.004604736365247536,0.00013905544672986994,-0.0003068958221123117,0.0005842119422896268,8.897355838665532e-05,-0.00034234301860452786,0.0005291094088372795,-9.70065200934641e-05,-0.00025848075617110783,6.913664248177374e-05,0.00023606196682333404,15,20,2
selection_2005_2014,4803,0.6637518217780554,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.006159412571907506,0.0008031569711233243,0.0120435004884594,-0.008100216534775667,-0.012351304486711318,-0.003910716746377718,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,-0.004403555163376857,-0.007344045009754151,-0.0015802449690800109,-0.010673939366062143,-0.016369140194911362,-0.005041069024746754,-0.009880261798828383,-0.014684687836578338,-0.005061626417327779,0.0002567155354146608,3.040909292172152e-05,0.0004968967872292627,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.00012600158067055487,-0.00020265191320336634,-4.671919415528054e-05,0.00038271711608521563,15,40,2
holdout_2015_2026,9966,0.6596427854706001,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.001486829199954035,-0.006958733950914943,0.010133679207518736,0.00025773111387881456,-0.00634482253847195,0.007202020693254855,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,0.0006347996810937051,-0.003979758851859256,0.005253722141862026,-0.0009208926310031488,-0.009307074373531043,0.007512033867846582,-0.0005007339847868127,-0.0076975965425707974,0.006911557197374179,7.312315571312498e-05,-0.00027744966105236344,0.0004294430274479837,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-2.5793807963980272e-05,-0.00010952064437022692,5.834972612682734e-05,9.891696367710526e-05,15,40,2
selection_2005_2014,4803,0.6637518217780554,2.0,0.009896746779118476,-0.003602659803669749,0.024050421882768437,0.0030260788945393794,-0.005893177585170474,0.012083342473700149,-0.006870667884579095,-0.012611221563086597,-0.0014374919662224794,-0.0022541858827184727,-0.004015532672448347,-0.0005705750896158679,-0.0035931440921209003,-0.00736321604192143,-5.3134703185030776e-05,-0.008133344096670294,-0.01641942189346572,-0.0003099725551007717,-0.009466922443238069,-0.015971254099719688,-0.0030081386873350396,7.830445123441e-05,-0.0001641722080184315,0.00032204786518562524,0.0001649457796519746,-6.004433006116247e-05,0.0004008403647128074,-9.392557277984624e-05,-0.00015955299183786534,-3.0284037817023398e-05,0.00017223002401425626,15,60,2
holdout_2015_2026,9966,0.6596427854706001,2.0,-0.0015999487366228908,-0.01930967404373176,0.017294892041207505,0.0006550045495065888,-0.010516431647516072,0.012510755689299635,0.00225495328612948,-0.00562167451786817,0.010095961198365987,-0.00032537548834539286,-0.0024591388517499237,0.0017850550921223235,0.0017262209002375315,-0.003239393845665409,0.006703307657860006,0.0017403344269162646,-0.008558732642017942,0.011465148912335977,0.002950468529012783,-0.005532367132807597,0.01137912063233004,2.553164518209698e-05,-0.00027543285164564137,0.000340008076369171,-2.666581227704818e-05,-0.0003218279007288627,0.00028824820068679185,1.4010539673799755e-05,-5.076794659811853e-05,7.791862819704679e-05,1.1521105508297237e-05,15,60,2
selection_2005_2014,4803,0.6985217572350614,2.0,0.005346804232138856,-0.0007466063298853854,0.011692923300403987,0.0011423698780432161,-0.0024980000963552218,0.004960624344427393,-0.00420443435409564,-0.007503330813716811,-0.0009191229752581713,-0.0025115173167527265,-0.004294043682120488,-0.000852533040782151,-0.0022897175079085283,-0.004775615696886483,0.00013116808672195186,-0.0055191400791414595,-0.009882638909495488,-0.001073856415293861,-0.005017613483711464,-0.008759005236622566,-0.0011151146935042039,9.739131878251741e-05,-0.00025633801345093757,0.0004633324985217464,0.0002673402116069428,-3.733031649426927e-05,0.0005846461650201993,-0.00018318650116557405,-0.00033163689634323353,-3.1023802489923414e-05,0.0002805778199480914,20,20,2
holdout_2015_2026,9966,0.6929560505719446,2.0,0.001779471167733106,-0.006846860372090557,0.010582188176745588,0.0007775498832200562,-0.0037793502414882186,0.005407710599823718,-0.0010019212845130514,-0.005799690987072259,0.00397767584190596,-0.00013086977214619855,-0.0022929801779213482,0.001967707871005802,-0.00011926199870439077,-0.003580656187663247,0.0034330540927028606,-0.0016012898301527583,-0.007488192518286747,0.0044916518765525755,-0.0008506180620461357,-0.006122151970674566,0.0044545867640377376,7.438078785373152e-05,-0.0004367174039936163,0.0005982107408285777,8.897355838665532e-05,-0.00034234301860452786,0.0005291094088372795,-0.00015923333856491853,-0.00041186167237974343,0.00010473094899471435,0.00023361412641865,20,20,2
selection_2005_2014,4803,0.7056006662502603,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.006460645527546171,0.0009114318954991237,0.012527708859588265,-0.007798983579137003,-0.011937919016761977,-0.0037377148266779276,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,-0.0042822348884620325,-0.0072081836994634645,-0.001557931370994641,-0.010296794566483572,-0.015636422211868683,-0.004971892615769078,-0.009772028701575916,-0.014452852233187286,-0.005111739278492288,0.0002606517190539209,4.011346997040879e-05,0.0004989773572521707,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.00012189449920871975,-0.00020035571907519478,-4.202074827018944e-05,0.00038254621826264065,20,40,2
holdout_2015_2026,9966,0.7005819787276741,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.0009772912982638601,-0.007638297630302301,0.009824919771399446,-0.0002518067878113604,-0.006776169379505498,0.006430084543862992,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,0.00030933554969169753,-0.004144168696451453,0.004767305485024718,-0.0008222539126010316,-0.008933794848786087,0.007517706030959242,-0.0010815654619886132,-0.008185260366468251,0.006227511151580202,3.4933580149094854e-05,-0.00031181034666163536,0.0003852001856197011,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-6.847076733217339e-05,-0.00015822456380699636,1.2812264319061652e-05,0.00010340434748126823,20,40,2
selection_2005_2014,4803,0.7056006662502603,2.0,0.009896746779118476,-0.003602659803669749,0.024050421882768437,0.003139900813523903,-0.0061350196778494235,0.01266853012765904,-0.006756845965594572,-0.012194907644549557,-0.001714760978310684,-0.0022541858827184727,-0.004015532672448347,-0.0005705750896158679,-0.003876447989261498,-0.007421580726682109,-0.0006892397832180015,-0.00843609721542731,-0.016261168040623823,-0.0009736925544438199,-0.009680540622933668,-0.01589891706600532,-0.0036626989016374013,7.72392556123826e-05,-0.00016002111110917402,0.00031824933596741556,0.0001649457796519746,-6.004433006116247e-05,0.0004008403647128074,-9.263896770628386e-05,-0.00015197390638989238,-3.517318401149176e-05,0.00016987822331866647,20,60,2
holdout_2015_2026,9966,0.7005819787276741,2.0,-0.0015999487366228908,-0.01930967404373176,0.017294892041207505,8.267336938234254e-05,-0.011541614563843512,0.012423392866823478,0.0016826221060052345,-0.00580932212461752,0.009111768040390827,-0.00032537548834539286,-0.0024591388517499237,0.0017850550921223235,0.0009981805721994235,-0.003851821049400691,0.00588110644295635,0.0016033001002059503,-0.007946674617508143,0.010834132979532424,0.0020426850114449078,-0.006247384840458632,0.010404269709964782,4.523431905903153e-06,-0.0002974107226050117,0.0003153213310780609,-2.666581227704818e-05,-0.0003218279007288627,0.00028824820068679185,-9.747901137490506e-06,-7.196749197684469e-05,5.0031279261378246e-05,1.4271333043393654e-05,20,60,2
